Model1,Model2,AverageSimilarity
flan_lnp,flan_lnp,0.8500719
flan_lnp,flan_snp,0.7907025
flan_lnp,openai4m_lnp,0.55380154
flan_lnp,openai4m_snp,0.5527458
flan_lnp,openai4o_lnp,0.5444534
flan_lnp,openai4o_snp,0.56195116
flan_snp,flan_lnp,0.7907025
flan_snp,flan_snp,0.85565615
flan_snp,openai4m_lnp,0.5462159
flan_snp,openai4m_snp,0.5702341
flan_snp,openai4o_lnp,0.53295225
flan_snp,openai4o_snp,0.57346404
openai4m_lnp,flan_lnp,0.55380154
openai4m_lnp,flan_snp,0.5462159
openai4m_lnp,openai4m_lnp,0.7825809
openai4m_lnp,openai4m_snp,0.6156577
openai4m_lnp,openai4o_lnp,0.73668116
openai4m_lnp,openai4o_snp,0.6213986
openai4m_snp,flan_lnp,0.5527458
openai4m_snp,flan_snp,0.5702341
openai4m_snp,openai4m_lnp,0.6156577
openai4m_snp,openai4m_snp,0.75338614
openai4m_snp,openai4o_lnp,0.591373
openai4m_snp,openai4o_snp,0.69403833
openai4o_lnp,flan_lnp,0.5444534
openai4o_lnp,flan_snp,0.53295225
openai4o_lnp,openai4m_lnp,0.73668116
openai4o_lnp,openai4m_snp,0.591373
openai4o_lnp,openai4o_lnp,0.78097546
openai4o_lnp,openai4o_snp,0.6169406
openai4o_snp,flan_lnp,0.56195116
openai4o_snp,flan_snp,0.57346404
openai4o_snp,openai4m_lnp,0.6213986
openai4o_snp,openai4m_snp,0.69403833
openai4o_snp,openai4o_lnp,0.6169406
openai4o_snp,openai4o_snp,0.77058995
